SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""12:24:39.117""",0,0,12200.0,-15804.0,14640.0,-1246.0,-133.0,159.0, ,"=""12:24:39.117""",0,0,-15484.0,-4032.0,31672.0,-6166.0,4641.0,299.0, ,"=""12:24:39.117""",0,0,15000.0,-18896.0,32767.0,-86.0,2765.0,466.0, 
"=""12:24:39.225""",0,0,12200.0,-15804.0,14640.0,-1246.0,-133.0,159.0, ,"=""12:24:39.225""",0,0,-13696.0,-6096.0,29908.0,-2510.0,-1019.0,-1214.0, ,"=""12:24:39.225""",0,0,15000.0,-18896.0,32767.0,-86.0,2765.0,466.0, 
"=""12:24:39.335""",0,0,12200.0,-15804.0,14640.0,-1246.0,-133.0,159.0, ,"=""12:24:39.335""",0,0,-13696.0,-6096.0,29908.0,-2510.0,-1019.0,-1214.0, ,"=""12:24:39.335""",0,0,15000.0,-18896.0,32767.0,-86.0,2765.0,466.0, 
"=""12:24:39.445""",0,0,12200.0,-15804.0,14640.0,-1246.0,-133.0,159.0, ,"=""12:24:39.445""",0,0,-13696.0,-6096.0,29908.0,-2510.0,-1019.0,-1214.0, ,"=""12:24:39.445""",0,0,15000.0,-18896.0,32767.0,-86.0,2765.0,466.0, 
"=""12:24:39.554""",0,0,12200.0,-15804.0,14640.0,-1246.0,-133.0,159.0, ,"=""12:24:39.554""",0,0,-13696.0,-6096.0,29908.0,-2510.0,-1019.0,-1214.0, ,"=""12:24:39.554""",0,0,13484.0,-17800.0,32767.0,2362.0,-745.0,-333.0, 
"=""12:24:45.855""",237,0,11496.0,-15316.0,11712.0,-2836.0,-886.0,-2098.0, ,"=""12:24:45.855""",237,0,-13592.0,-5400.0,31520.0,-2048.0,-1578.0,-1542.0, ,"=""12:24:45.855""",237,0,14400.0,-17628.0,32767.0,135.0,447.0,-76.0, 
"=""12:24:45.963""",237,0,11496.0,-15316.0,11712.0,-2836.0,-886.0,-2098.0, ,"=""12:24:45.963""",237,0,-13592.0,-5400.0,31520.0,-2048.0,-1578.0,-1542.0, ,"=""12:24:45.963""",237,0,14636.0,-17616.0,32767.0,834.0,-249.0,235.0, 
"=""12:24:46.075""",237,0,11496.0,-15316.0,11712.0,-2836.0,-886.0,-2098.0, ,"=""12:24:46.075""",237,0,-13592.0,-5400.0,31520.0,-2048.0,-1578.0,-1542.0, ,"=""12:24:46.075""",237,0,14636.0,-17616.0,32767.0,834.0,-249.0,235.0, 
"=""12:24:46.183""",237,0,11504.0,-15180.0,11600.0,-2793.0,-1209.0,-1865.0, ,"=""12:24:46.183""",237,0,-13592.0,-5400.0,31520.0,-2048.0,-1578.0,-1542.0, ,"=""12:24:46.183""",237,0,14636.0,-17616.0,32767.0,834.0,-249.0,235.0, 
"=""12:24:46.292""",237,0,11504.0,-15180.0,11600.0,-2793.0,-1209.0,-1865.0, ,"=""12:24:46.292""",237,0,-13592.0,-5400.0,31520.0,-2048.0,-1578.0,-1542.0, ,"=""12:24:46.292""",237,0,14636.0,-17616.0,32767.0,834.0,-249.0,235.0, 
"=""12:24:56.069""",560,239,10368.0,-13856.0,10408.0,-5320.0,-2140.0,-2800.0, ,"=""12:24:56.069""",560,236,-15976.0,-12840.0,31660.0,-2482.0,-1540.0,-210.0, ,"=""12:24:56.069""",560,239,15724.0,-15032.0,32767.0,54.0,132.0,-71.0, 
"=""12:24:56.181""",560,239,10368.0,-13856.0,10408.0,-5320.0,-2140.0,-2800.0, ,"=""12:24:56.182""",560,236,-15976.0,-12840.0,31660.0,-2482.0,-1540.0,-210.0, ,"=""12:24:56.182""",560,239,15724.0,-15032.0,32767.0,54.0,132.0,-71.0, 
"=""12:24:56.292""",560,239,10368.0,-13856.0,10408.0,-5320.0,-2140.0,-2800.0, ,"=""12:24:56.292""",560,236,-15976.0,-12840.0,31660.0,-2482.0,-1540.0,-210.0, ,"=""12:24:56.292""",560,239,15724.0,-15032.0,32767.0,54.0,132.0,-71.0, 
