SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:59.571""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:36:59.571""",600,598,-7124.0,-10572.0,-13568.0,-8555.0,-3456.0,-2758.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:59.679""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:36:59.679""",600,598,-7124.0,-10572.0,-13568.0,-8555.0,-3456.0,-2758.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:59.786""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:36:59.786""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:36:59.902""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:36:59.902""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.010""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:37:00.010""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.133""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:37:00.133""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.240""",600,603,10276.0,-5080.0,7492.0,-6555.0,-13278.0,-2433.0, ,"=""15:37:00.241""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.349""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.349""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.457""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.457""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.565""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.565""",600,599,4.0,-7636.0,-3372.0,15803.0,4686.0,205.0, 
OFFLINE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, ,"=""15:37:00.675""",600,602,1796.0,2964.0,8076.0,-6223.0,2662.0,4809.0, ,"=""15:37:00.675""",600,599,-1444.0,-27672.0,2260.0,6118.0,-1195.0,3458.0, 
