Trial_Number,Phase,RPM_1,RPM_2,RPM_3,Displacement_mm
1,Prior,625,202,835,1.44
2,Prior,834,619,660,112.74
3,Prior,350,124,-266,0.66
4,Prior,-961,-427,-345,21.69
5,Prior,292,-359,843,0.42
6,Prior,-879,54,339,73.35
7,Prior,-122,-294,63,0.34
8,Prior,187,-62,-75,0.22
9,Prior,357,-454,121,0.13
10,Prior,-431,290,-538,0.09
11,Prior,811,-805,-51,193.07
12,Prior,353,885,886,84.72
13,Prior,-992,340,-747,69.7
14,Prior,422,-497,-588,1.2
15,Prior,-15,739,231,0.71
16,Optimization,-967,362,-773,122.06
17,Optimization,818,-795,-63,210.22
18,Optimization,824,-801,-90,160.43
19,Optimization,1000,-972,62,113.4
20,Optimization,964,-611,-30,282.82
21,Optimization,1000,-492,-10,198.04
22,Optimization,1000,-617,-266,30.17
23,Optimization,919,-651,22,156.04
24,Optimization,1000,-543,293,114.98
25,Optimization,1000,1000,259,94.93
26,Optimization,-1000,1000,-1000,258.32
27,Optimization,813,723,927,85.26
28,Optimization,-691,1000,-1000,191.71
29,Optimization,986,-584,-41,179.98
30,Optimization,-1000,1000,-575,97.79
31,Optimization,1000,1000,-1000,135.81
32,Optimization,-1000,-1000,1000,137.49
33,Optimization,-1000,1000,1000,0.0
34,Optimization,57,1000,-1000,176.05
35,Optimization,1000,-1000,1000,251.11
36,Optimization,-782,-983,860,198.91
37,Optimization,-841,-453,652,56.71
38,Optimization,-829,130,483,4.71
39,Optimization,-594,578,610,1.76
40,Optimization,-961,-174,836,126.46
41,Optimization,243,-479,-221,2.12
42,Optimization,951,-624,-31,259.48
43,Optimization,965,-612,-10,209.85
44,Optimization,964,-615,-44,253.26
45,Optimization,918,-607,-56,270.64
46,Optimization,930,-654,-73,217.98
47,Optimization,-933,1000,-1000,264.07
48,Optimization,724,-1000,1000,61.92
49,Optimization,-1000,801,-1000,132.32
50,Optimization,1000,-728,1000,156.43
