S1_timestamp,S1_Target_RPM,S1_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,S2_timestamp,S2_Target_RPM,S2_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,S3_timestamp,S3_Target_RPM,S3_Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""16:17:32.864""",0,0,-5588.0,4784.0,-12028.0,71.0,-22.0,-176.0, ,"=""16:17:32.864""",0,0,-824.0,-17372.0,20668.0,21.0,45.0,17.0, ,"=""16:17:32.864""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:32.966""",0,0,-5588.0,4784.0,-12028.0,71.0,-22.0,-176.0, ,"=""16:17:32.966""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:32.966""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.068""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.068""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.068""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.169""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.169""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.169""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.271""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.271""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.271""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.373""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.373""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.373""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.475""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.475""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.475""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.577""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.577""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.577""",0,0,-3500.0,-1044.0,20892.0,-432.0,-898.0,1147.0, 
"=""16:17:33.678""",0,0,-5744.0,4816.0,-12060.0,39.0,-57.0,-158.0, ,"=""16:17:33.678""",0,0,-824.0,-17304.0,20600.0,9.0,-1.0,1.0, ,"=""16:17:33.678""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:33.780""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:33.780""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:33.780""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:33.882""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:33.882""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:33.882""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:33.984""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:33.984""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:33.984""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:34.085""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:34.085""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:34.085""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:34.187""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:34.187""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:34.187""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:34.289""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:34.289""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:34.289""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:34.391""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:34.392""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:34.392""",0,0,-3388.0,-1264.0,20924.0,-478.0,-880.0,1136.0, 
"=""16:17:34.493""",0,0,-5620.0,4744.0,-12136.0,-4.0,-53.0,-164.0, ,"=""16:17:34.493""",0,0,-816.0,-17316.0,20608.0,5.0,39.0,-14.0, ,"=""16:17:34.493""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:34.595""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:34.595""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:34.595""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:34.698""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:34.698""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:34.698""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:34.800""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:34.800""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:34.800""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:34.902""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:34.902""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:34.902""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:35.005""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:35.005""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:35.005""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:35.107""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:35.107""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:35.107""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:35.209""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:35.209""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:35.209""",0,0,-3932.0,-1320.0,20884.0,-490.0,-897.0,1145.0, 
"=""16:17:35.311""",0,0,-5624.0,4664.0,-11984.0,39.0,-49.0,-118.0, ,"=""16:17:35.311""",0,0,-764.0,-17256.0,20560.0,-10.0,3.0,-28.0, ,"=""16:17:35.311""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.412""",0,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.412""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.412""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.514""",0,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.514""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.514""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.616""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.616""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.616""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.718""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.718""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.718""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.819""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.819""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.819""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:35.922""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:35.922""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:35.922""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:36.039""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:36.039""",0,0,-700.0,-17320.0,20532.0,-8.0,2.0,-26.0, ,"=""16:17:36.039""",0,0,-3876.0,-1196.0,20848.0,-468.0,-925.0,1155.0, 
"=""16:17:36.141""",900,0,-5728.0,4800.0,-11944.0,64.0,-39.0,-100.0, ,"=""16:17:36.141""",0,0,-812.0,-17240.0,19836.0,-2309.0,348.0,-957.0, ,"=""16:17:36.141""",0,0,-3612.0,-548.0,20020.0,-1079.0,-852.0,1172.0, 
"=""16:17:36.242""",900,375,-7604.0,-6032.0,-13148.0,-3059.0,-1627.0,1039.0, ,"=""16:17:36.242""",0,0,-812.0,-17240.0,19836.0,-2309.0,348.0,-957.0, ,"=""16:17:36.242""",0,0,-3612.0,-548.0,20020.0,-1079.0,-852.0,1172.0, 
