Trial,M1,M2,M3,Displacement_mm,Yaw_rotation_deg
1,1000,1000,1000,106.19793825102913,4.3774303793907166
2,1000,1000,1000,346.7414614121805,-3.484849393
3,1000,1000,1000,383.52311962512294,2.0722949504852295
4,1000,1000,1000,176.1278586941583,1.363269160501659
5,1000,1000,1000,212.78184012783768,1.3825360834598541
6,1000,1000,1000,171.38453240351126,0.5458720922470093
7,1000,1000,1000,70.71983921335098,0.5419062077999115
8,1000,1000,1000,205.99137886727013,1.9868903756141663
9,1000,1000,1000,189.3951202218249,1.423267051577568
10,1000,1000,1000,193.31931355276197,0.025228500366210938
11,1000,1000,1000,124.1183433928979,3.5985862016677856
12,1000,1000,1000,57.45337710942927,3.902069866657257
13,1000,1000,1000,29.982513011431116,3.6437786668539047
14,1000,1000,1000,52.96996536378205,-0.173589468
15,1000,1000,1000,173.48360211380918,-0.160942107
16,1000,1000,1000,119.08058957258766,-0.572682366
17,1000,1000,1000,97.92573482950725,2.134607951156795
18,1000,1000,1000,350.59819131910086,0.49367377161979675
19,1000,1000,1000,256.16730590466494,79.76375043392181
20,1000,1000,1000,77.94226113,0.37917089462280273
21,1000,1000,1000,80.10289702660529,2.5299243330955505
22,1000,1000,1000,40.01436353402251,-3.276796699
23,1000,1000,1000,75.08887306596775,0.006856799
24,1000,1000,1000,180.02199126209084,5.205401033163071
25,1000,1000,1000,144.48536723992953,-1.748489261
26,1000,1000,1000,89.90568045804496,8.572188854
27,1000,1000,1000,76.02446123,9.065343379974365
