Trial,M1,M2,M3,Displacement_mm,Yaw_rotation_deg
1,-800,700,900,118.94259645514957,7.306039571762085
2,-800,700,900,132.84313426448944,6.272593021392822
3,-800,700,900,118.1812257078738,7.232523441314697
4,-800,700,900,116.74993360269028,-1.487485408782959
5,-800,700,900,118.72498000800657,5.1657587587833405
6,-800,700,900,118.18628070831262,7.505428314208984
7,-800,700,900,121.56258617603544,6.498994052410126
8,-800,700,900,135.16319318815468,5.888327598571777
9,-800,700,900,120.19878601354648,6.205025911331177
10,-800,700,900,122.754086211092,6.488115310668945
11,-800,700,900,141.94435627805998,7.111684560775757
12,-800,700,900,121.70253320309219,7.693850517272949
13,-800,700,900,127.30382487384381,3.202398419380188
14,-800,700,900,123.26914771924832,6.432500720024109
15,-800,700,900,138.2410495762171,4.035650610923767
16,-800,700,900,142.62434578574212,5.664161443710327
17,-800,700,900,145.74357484415606,1.367340087890625
18,-800,700,900,122.3832066257706,6.897891998291016
19,-800,700,900,153.44762720559126,5.061038792133331
20,-800,700,900,143.99604760238648,6.916805267333984
21,-800,700,900,nan,nan
22,-800,700,900,122.61934124814874,6.602030515670776
23,-800,700,900,109.31976197974788,2.6514432430267334
24,-800,700,900,151.23322876676255,4.766014814376831
25,-800,700,900,128.34243006853075,3.4417415857315063
26,-800,700,900,140.48470968266705,5.26227068901062
27,-800,700,900,145.67404498829416,4.878348350524902
28,-800,700,900,123.41327056669019,4.136190548539162
29,-800,700,900,137.62405638943247,4.127945959568024
30,-800,700,900,150.74533479136386,5.83181095123291
31,-800,700,900,145.9126166632277,4.15269672870636
32,-800,700,900,149.60541848822604,6.3714611530303955
33,-800,700,900,145.8112570105425,5.097844839096069
34,-800,700,900,126.84631429493598,5.943973064422607
35,-800,700,900,128.28430518110036,5.790201544761658
36,-800,700,900,154.231918025996,6.3335511684417725
37,-800,700,900,143.94331642505574,4.8327248096466064
38,-800,700,900,148.12286269627555,6.28570556640625
39,-800,700,900,143.55747145241506,3.7523045539855957
40,-800,700,900,154.03114861930578,5.381387829780579
41,-800,700,900,146.08087740755678,4.902101434767246
42,-800,700,900,167.43399669666013,3.2136316299438477
43,-800,700,900,66.4937083756518,4.986475825309753
44,-800,700,900,67.57029451654483,3.8235563039779663
45,-800,700,900,84.06513909676383,5.431072473526001
46,-800,700,900,76.88894672959366,3.0276495814323425
47,-800,700,900,79.69025609011383,3.007471948862076
48,-800,700,900,81.45820563879599,3.747403919696808
49,-800,700,900,70.29329146365998,4.605066359043121
50,-800,700,900,75.24394699721113,4.480208873748779
