SPVVVECTR1_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR2_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, ,SPVVVECTR3_timestamp,Target_RPM,Actual_RPM,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z, 
"=""12:16:19.34715""",0,0,-4200.0,3940.0,13808.0,-2407.0,-1160.0,-2136.0, ,"=""12:16:19.34722""",0,0,1644.0,-5052.0,9276.0,-1974.0,-1447.0,-1202.0, ,"=""12:16:19.34724""",0,0,10544.0,7940.0,16284.0,-1974.0,2279.0,2078.0, 
"=""12:16:23.30602""",200,0,-4304.0,4016.0,13896.0,-2367.0,-1219.0,-2094.0, ,"=""12:16:23.30609""",200,0,1508.0,-5144.0,9368.0,-2036.0,-1454.0,-1234.0, ,"=""12:16:23.30612""",200,0,10596.0,8100.0,16272.0,-2026.0,2335.0,2101.0, 
"=""12:16:23.82390""",200,0,-4272.0,3964.0,13736.0,-2401.0,-1291.0,-2098.0, ,"=""12:16:23.82402""",200,0,1508.0,-5144.0,9368.0,-2036.0,-1454.0,-1234.0, ,"=""12:16:23.82407""",200,19,10268.0,9036.0,16168.0,-2255.0,2324.0,2017.0, 
"=""12:16:33.28407""",400,197,-13592.0,6588.0,11848.0,-3798.0,-2555.0,-1411.0, ,"=""12:16:33.28416""",400,202,564.0,-6568.0,10560.0,-8243.0,-334.0,-3510.0, ,"=""12:16:33.28418""",400,196,7376.0,18576.0,8144.0,-6385.0,1837.0,2397.0, 
"=""12:16:33.79177""",400,197,-13592.0,6588.0,11848.0,-3798.0,-2555.0,-1411.0, ,"=""12:16:33.79187""",400,216,-2016.0,-13888.0,14508.0,-4404.0,1782.0,-2546.0, ,"=""12:16:33.79190""",200,199,9152.0,2880.0,20088.0,-774.0,3694.0,4501.0, 
"=""12:16:40.13519""",900,403,-4112.0,4380.0,13284.0,638.0,-1359.0,-3201.0, ,"=""12:16:40.13528""",900,424,3052.0,-7996.0,13816.0,-5433.0,288.0,-2935.0, ,"=""12:16:40.13529""",900,399,10880.0,12248.0,14352.0,1982.0,2127.0,-240.0, 
"=""12:16:40.65121""",900,449,1168.0,6264.0,19372.0,10018.0,334.0,-16711.0, ,"=""12:16:40.65136""",900,424,3052.0,-7996.0,13816.0,-5433.0,288.0,-2935.0, ,"=""12:16:40.65141""",900,504,16040.0,23640.0,8616.0,-1780.0,-2967.0,2795.0, 
"=""12:16:45.39435""",0,886,-3964.0,32767.0,32767.0,32767.0,15508.0,-8806.0, ,"=""12:16:45.39439""",0,747,8696.0,-32768.0,10396.0,32767.0,-31008.0,3480.0, ,"=""12:16:45.39440""",0,840,17136.0,-22040.0,32767.0,-32768.0,-28345.0,-13602.0, 
"=""12:16:45.90528""",0,886,-3964.0,32767.0,32767.0,32767.0,15508.0,-8806.0, ,"=""12:16:45.90537""",0,683,-32768.0,-32768.0,32767.0,32767.0,-32768.0,25078.0, ,"=""12:16:45.90540""",0,840,17136.0,-22040.0,32767.0,-32768.0,-28345.0,-13602.0, 
